source;target;next_n;prev_n;next_e;distance
0;47;1;46;0;0.00939983
0;41;1;38;0;0.00952579
0;46;1;48;0;0.0086037
0;102;1;88;0;0.00838023
0;75;1;92;0;0.00917796
0;140;1;96;0;0.00859062
0;139;1;96;0;0.00816187
0;92;1;71;0;0.00804792
0;88;1;101;0;0.00810355
0;69;1;88;0;0.00851645
0;96;1;90;0;0.0080291
0;76;1;90;0;0.00852405
0;48;1;92;0;0.00820592
0;93;1;95;0;0.0080111
0;113;1;114;0;0.00777563
0;101;1;100;0;0.00786298
0;114;1;115;0;0.00763136
0;115;1;26;0;0.00756264
0;95;1;26;0;0.00763959
0;39;1;37;0;0.00977794
0;38;1;37;0;0.00933947
0;116;1;34;0;0.00752103
0;91;1;85;0;0.00844849
0;90;1;85;0;0.00766722
0;117;1;34;0;0.00750852
0;141;1;56;0;0.00793452
0;24;1;33;0;0.00742132
0;34;1;33;0;0.00745352
0;26;1;24;0;0.00750224
0;25;1;94;0;0.00724793
0;55;1;53;0;0.00793402
0;86;1;74;0;0.00795799
0;85;1;84;0;0.00742508
0;87;1;63;0;0.00781604
0;45;1;40;0;0.00742477
0;37;1;40;0;0.00746242
0;94;1;27;0;0.00717335
0;16;1;27;0;0.0083952
0;100;1;67;0;0.00761485
0;77;1;78;0;0.00760039
0;84;1;78;0;0.00712862
0;33;1;28;0;0.00735691
0;78;1;136;0;0.0070076
0;66;1;64;0;0.00715792
0;89;1;73;0;0.00764592
0;40;1;28;0;0.00707031
0;27;1;112;0;0.00703356
0;28;1;112;0;0.0070033
0;17;1;42;0;0.0047825
0;103;1;31;0;0.00486205
0;29;1;30;0;0.00469961
0;31;1;29;0;0.00478274
0;32;1;80;0;0.00455289
0;111;1;42;0;0.0047136
0;104;1;81;0;0.00538397
0;30;1;80;0;0.00459198
0;118;1;80;0;0.00448447
0;81;1;79;0;0.00527656
0;80;1;79;0;0.00444556
0;1;1;0;0;0.00196176
0;121;1;104;0;0.00546118
0;42;1;30;0;0.0046752
0;10;1;8;0;0.00503527
0;13;1;120;0;0.00274305
0;11;1;20;0;0.00264578
0;18;1;22;0;0.00212627
0;97;1;121;0;0.00593873
0;112;1;42;0;0.00693338
0;23;1;1;0;0.00212288
0;58;1;81;0;0.00566104
0;137;1;133;0;0.00637106
0;21;1;1;0;0.00228376
0;79;1;23;0;0.00417341
0;22;1;1;0;0.00202317
0;9;1;8;0;0.00442256
0;120;1;14;0;0.00262984
0;83;1;23;0;0.0022254
